Population,FlwrT,1stFlwrHt_mm,Planted,Pot,Germ,crownTop,crownSide,flwrTime,NumLeaves,CrownHt,1stFlwrHt_cm,1stFlwrDate,FlwrPicDate,FlwrPos,Tissue coll
ZYIL,55,412,11/4/13,14,11/11/13,12/20/13,12/20/13,48,10,23.4,41.2,12/29/13,12/30/13,3,12/31/13
ZYIL,36,158,11/4/13,15,11/11/13,12/2/13,12/2/13,29,6,14.8,15.8,12/10/13,12/13/13,3,12/18/13
ZYIL,43,274,11/4/13,16,11/11/13,12/9/13,12/9/13,36,8,19.1,27.4,12/17/13,12/20/13,4,12/23/13
ZYIL,44,448,11/4/13,17,11/11/13,12/9/13,12/9/13,37,9,18.8,44.8,12/18/13,12/20/13,3,12/23/13
ZYIL,55,242,11/4/13,18,11/11/13,12/18/13,12/18/13,48,8,15.2,24.2,12/29/13,12/30/13,3,12/31/13
ZYIL,63,253,11/4/13,19,11/11/13,12/23/13,12/23/13,56,9,20.4,25.3,1/6/14,1/8/14,3,1/8/14
ZYIL,48,264,11/4/13,20,11/11/13,12/11/13,12/11/13,41,9,8.3,26.4,12/22/13,12/23/13,3,12/23/13
ZYIL,41,176,11/4/13,21,11/11/13,12/6/13,12/6/13,34,5,12.1,17.6,12/15/13,12/18/13,4,12/23/13
ZYIL,42,191,11/4/13,22,11/11/13,12/4/13,12/4/13,35,6,9.7,19.1,12/16/13,12/18/13,3,12/23/13
ZYIL,50,194,11/4/13,23,11/11/13,12/11/13,12/11/13,43,9,12.2,19.4,12/24/13,12/27/13,3,12/31/13
ZYIL,49,244,11/4/13,24,11/11/13,12/16/13,12/16/13,42,12,14.2,24.4,12/23/13,12/24/13,3,12/31/13
ZYIL,46,191,11/4/13,25,11/11/13,12/9/13,12/9/13,39,8,17.9,19.1,12/20/13,12/23/13,6,12/23/13
ZYIL,44,162,11/4/13,26,11/13/13,12/10/13,12/10/13,35,5,12.6,16.2,12/18/13,12/20/13,3,12/23/13
ZYIL,42,152,11/4/13,27,11/11/13,12/6/13,12/6/13,35,7,13.8,15.2,12/16/13,12/18/13,3,12/23/13
ZYIL,49,148,11/4/13,28,11/11/13,12/13/13,12/13/13,42,8,14.5,14.8,12/23/13,12/24/13,3,12/31/13
ZYIL,48,308,11/4/13,29,11/11/13,12/10/13,12/10/13,41,8,18.6,30.8,12/22/13,12/23/13,3,12/23/13
ZYIL,35,100,11/4/13,30,11/11/13,12/2/13,12/2/13,28,6,10.1,10,12/9/13,12/10/13,3,12/18/13
DEES,97,151,11/4/13,1,11/8/13,1/31/14,1/31/14,93,48,9.8,15.1,2/9/14,2/11/14,5,1/24/14
DEES,104,61,11/4/13,2,11/8/13,2/7/14,2/7/14,100,45,7.1,6.1,2/16/14,2/17/14,3,1/24/14
DEES,95,32,11/4/13,3,11/11/13,1/31/14,1/31/14,88,50,4.8,3.2,2/7/14,2/11/13,3,1/24/14
DEES,87,131,11/4/13,4,11/11/13,1/21/14,1/21/14,80,42,6.8,13.1,1/30/14,1/31/14,3,1/24/14
DEES,83,32,11/4/13,5,11/8/13,1/20/14,1/20/14,79,32,6.2,3.2,1/26/14,1/27/14,3,1/24/14
DEES,83,91,11/4/13,6,11/8/13,1/20/14,1/20/14,79,38,7.7,9.1,1/26/14,1/27/14,3,1/24/14
DEES,71,142,11/4/13,7,11/8/13,1/8/14,1/8/14,67,30,8.9,14.2,1/14/14,1/15/14,3,1/20/14
DEES,124,215,11/4/13,8,11/11/13,3/4/14,3/4/14,117,41,7.2,21.5,3/8/14,3/10/14,4,1/24/14
DEES,103,115,11/4/13,9,11/11/13,2/7/14,2/7/14,96,44,5.4,11.5,2/15/14,2/17/14,5,1/24/14
DEES,121,171,11/4/13,10,11/11/13,2/24/14,2/24/14,114,51,5.3,17.1,3/5/14,3/7/14,5,1/24/14
DEES,117,21,11/4/13,11,11/11/13,2/24/14,2/24/14,110,44,4.9,2.1,3/1/14,3/4/14,5,1/24/14
DEES,106,46,11/4/13,12,11/11/13,2/11/14,2/11/14,99,53,5.4,4.6,2/18/14,2/19/14,3,1/24/14
DEES,81,44,11/4/13,13,11/8/13,1/15/14,1/15/14,77,31,7.9,4.4,1/24/14,1/27/14,4,1/24/14
DEES,93,89,11/4/13,14,11/11/13,1/27/14,1/27/14,86,40,6.1,8.9,2/5/14,2/7/14,3,1/24/14
DEES,109,54,11/4/13,15,11/11/13,2/17/14,2/17/14,102,38,4.3,5.4,2/21/14,2/24/14,4,1/24/14
DEES,90,69,11/4/13,16,11/11/13,1/27/14,1/27/14,83,43,5.9,6.9,2/2/14,2/3/14,3,1/24/14
DEES,104,27,11/4/13,17,11/8/13,2/7/14,2/7/14,100,47,6.6,2.7,2/16/14,2/17/14,3,1/24/14
DEES,98,116,11/4/13,18,11/8/13,2/3/14,2/3/14,94,45,7.3,11.6,2/10/14,2/11/14,3,1/24/14
DEES,93,19,11/4/13,19,11/8/13,1/31/14,1/31/14,89,41,3.7,1.9,2/5/14,2/7/14,4,1/24/14
DEES,49,51,11/4/13,20,11/8/13,12/23/13,12/23/13,45,19,14,5.1,12/23/13,12/24/13,3,12/31/13
DEES,85,49,11/4/13,21,11/11/13,1/20/14,1/20/14,78,37,7.4,4.9,1/28/14,1/31/14,6,1/24/14
DEES,114,19,11/4/13,22,11/11/13,2/19/14,2/19/14,107,44,4.7,1.9,2/26/14,3/4/14,8,1/24/14
DEES,106,19,11/4/13,23,11/11/13,2/17/14,2/17/14,99,45,4.6,1.9,2/18/14,2/24/14,8,1/24/14
DEES,106,28,11/4/13,24,11/8/13,2/7/14,2/7/14,102,51,7.8,2.8,2/18/14,2/19/14,3,1/24/14
DEES,105,18,11/4/13,25,11/8/13,2/11/14,2/11/14,101,56,4.4,1.8,2/17/14,2/19/14,3,1/24/14
DEES,118,22,11/4/13,26,11/8/13,2/24/14,2/24/14,114,45,4.4,2.2,3/2/14,3/4/14,4,1/24/14
DEES,119,25,11/4/13,27,11/11/13,2/24/14,2/24/14,112,48,4.2,2.5,3/3/14,3/4/14,3,1/24/14
DEES,83,73,11/4/13,28,11/11/13,1/20/14,1/20/14,76,33,8.9,7.3,1/26/14,1/27/14,3,1/24/14
DEES,98,113,11/4/13,29,11/8/13,2/3/14,2/3/14,94,45,6.4,11.3,2/10/14,2/11/14,3,1/24/14
DEES,111,94,11/4/13,30,11/11/13,2/17/14,2/17/14,104,44,5.7,9.4,2/23/14,2/24/14,3,1/24/14
HCES,60,211,11/4/13,1,11/8/13,12/24/13,12/24/13,56,21,13.6,21.1,1/3/14,1/8/14,11,1/8/14
HCES,79,384,11/4/13,2,11/11/13,1/13/14,1/13/14,72,29,20.3,38.4,1/22/14,1/24/14,3,1/20/14
HCES,52,374,11/4/13,3,11/8/13,12/20/13,12/20/13,48,17,16.5,37.4,12/26/13,12/27/13,3,12/31/13
HCES,67,296,11/4/13,4,11/11/13,12/31/13,12/31/13,60,21,18.6,29.6,1/10/14,1/13/14,5,1/14/14
HCES,69,344,11/4/13,5,11/8/13,1/3/14,1/3/14,65,20,10.2,34.4,1/12/14,1/13/14,3,1/14/14
HCES,63,93,11/4/13,6,11/11/13,12/30/13,12/30/13,56,24,13.7,9.3,1/6/14,1/8/14,4,1/8/14
HCES,56,258,11/4/13,7,11/8/13,12/20/13,12/20/13,52,15,17.2,25.8,12/30/13,12/31/13,3,1/8/14
HCES,73,336,11/4/13,8,11/11/13,1/8/14,1/8/14,66,26,16.1,33.6,1/16/14,1/20/14,8,1/20/14
HCES,64,528,11/4/13,9,11/8/13,12/30/13,12/30/13,60,23,28.3,52.8,1/7/14,1/8/14,3,1/8/14
HCES,83,239,11/4/13,10,11/11/13,1/15/14,1/15/14,76,34,11.5,23.9,1/26/14,1/27/14,3,1/20/14
HCES,49,141,11/4/13,11,11/8/13,12/16/13,12/16/13,45,14,8.9,14.1,12/23/13,12/27/13,7,12/31/13
HCES,40,81,11/4/13,12,11/8/13,12/9/13,12/9/13,36,11,10.5,8.1,12/14/13,12/16/13,3,12/17/13
HCES,59,526,11/4/13,13,11/11/13,12/24/13,12/24/13,52,17,14.2,52.6,1/2/14,1/8/14,12,1/8/14
HCES,63,346,11/4/13,14,11/11/13,12/27/13,12/27/13,56,15,20.4,34.6,1/6/14,1/8/14,3,1/8/14
HCES,50,235,11/4/13,15,11/8/13,12/16/13,12/16/13,46,19,7.1,23.5,12/24/13,12/27/13,7,12/31/13
HCES,40,201,11/4/13,16,11/8/13,12/6/13,12/6/13,36,10,15.2,20.1,12/14/13,12/16/13,4,12/17/13
HCES,60,470,11/4/13,17,11/11/13,12/23/13,12/23/13,53,18,14.9,47,1/3/14,1/8/14,13,1/8/14
HCES,66,598,11/4/13,18,11/11/13,12/23/13,12/23/13,59,15,21.1,59.8,1/9/14,1/10/14,3,1/14/14
HCES,56,545,11/4/13,19,11/8/13,12/18/13,12/18/13,52,16,21.2,54.5,12/30/13,12/31/13,4,1/8/14
HCES,67,326,11/4/13,20,11/8/13,12/31/13,12/31/13,63,21,18.7,32.6,1/10/14,1/13/14,6,1/14/14
HCES,56,363,11/4/13,21,11/8/13,12/20/13,12/20/13,52,14,16.5,36.3,12/30/13,12/31/13,3,1/8/14
HCES,54,250,11/4/13,22,11/11/13,12/18/13,12/18/13,47,18,15.7,25,12/28/13,12/30/13,3,12/31/13
HCES,71,158,11/4/13,23,11/11/13,1/8/14,1/8/14,64,24,14,15.8,1/14/14,1/15/14,3,1/20/14
HCES,70,128,11/4/13,24,11/11/13,1/8/14,1/8/14,63,21,15.3,12.8,1/13/14,1/15/14,3,1/20/14
HCES,35,65,11/4/13,25,11/8/13,12/3/13,12/3/13,31,10,4.2,6.5,12/9/13,12/10/13,3,12/17/13
HCES,56,296,11/4/13,26,11/11/13,12/23/13,12/23/13,49,15,23,29.6,12/30/13,12/31/13,3,1/8/14
HCES,55,255,11/4/13,27,11/8/13,12/20/13,12/20/13,51,17,13.1,25.5,12/29/13,12/30/13,3,12/31/13
HCES,53,158,11/4/13,28,11/11/13,12/20/13,12/20/13,46,16,9,15.8,12/27/13,12/30/13q,4,12/31/13
HCES,63,330,11/4/13,29,11/8/13,12/27/13,12/27/13,59,15,20.8,33,1/6/14,1/8/14,3,1/8/14
HCES,63,371,11/4/13,30,11/8/13,12/27/13,12/27/13,59,19,21.8,37.1,1/6/14,1/8/14,6,1/8/14
HMES,51,337,11/4/13,1,11/8/13,12/16/13,12/16/13,47,14,20.4,33.7,12/25/13,12/27/13,5,12/31/13
HMES,63,397,11/4/13,2,11/8/13,12/27/13,12/27/13,59,21,14.6,39.7,1/6/14,1/8/14,6,1/8/14
HMES,36,165,11/4/13,3,11/8/13,12/3/13,12/3/13,32,10,12.3,16.5,12/10/13,12/13/13,4,12/17/13
HMES,66,448,11/4/13,4,11/11/13,12/31/13,12/31/13,59,20,12.9,44.8,1/9/14,1/10/14,3,1/14/14
HMES,66,492,11/4/13,5,11/8/13,12/30/13,12/30/13,62,23,21.2,49.2,1/9/14,1/10/14,3,1/14/14
HMES,70,323,11/4/13,6,11/11/13,1/3/14,1/3/14,63,15,21.4,32.3,1/13/14,1/15/14,3,1/20/14
HMES,63,260,11/4/13,7,11/8/13,12/24/13,12/24/13,59,19,13.2,26,1/6/14,1/8/14,6,1/8/14
HMES,40,90,11/4/13,8,11/8/13,12/6/13,12/6/13,36,12,4.6,9,12/14/13,12/16/13,3,12/17/13
HMES,63,504,11/4/13,9,11/8/13,12/20/13,12/20/13,59,15,28.5,50.4,1/6/14,1/8/14,3,1/8/14
HMES,66,383,11/4/13,10,11/11/13,1/3/14,1/3/14,59,19,30.2,38.3,1/9/14,1/10/14,3,1/14/14
HMES,41,97,11/4/13,11,11/8/13,12/6/13,12/6/13,37,10,11.7,9.7,12/15/13,12/18/13,3,12/23/13
HMES,66,111,11/4/13,12,11/8/13,1/3/14,1/3/14,62,21,13.2,11.1,1/9/14,1/10/14,3,1/14/14
HMES,58,526,11/4/13,13,11/8/13,12/18/13,12/18/13,54,17,19.1,52.6,1/1/14,1/3/14,5,1/8/14
HMES,63,134,11/4/13,14,11/8/13,12/30/13,12/30/13,59,25,13.9,13.4,1/6/14,1/8/14,3,1/8/14
HMES,76,213,11/4/13,15,11/8/13,1/8/14,1/8/14,72,21,15.7,21.3,1/19/14,1/20/14,3,1/20/14
HMES,40,101,11/4/13,16,11/8/13,12/6/13,12/6/13,36,9,8.2,10.1,12/14/13,12/16/13,4,12/17/13
HMES,54,420,11/4/13,17,11/8/13,12/18/13,12/18/13,50,14,17.2,42,12/28/13,12/30/13,4,12/31/13
HMES,52,604,11/4/13,18,11/11/13,12/16/13,12/16/13,45,12,24.1,60.4,12/26/13,12/27/13,3,12/31/13
HMES,57,268,11/4/13,19,11/8/13,12/23/13,12/23/13,53,12,21.4,26.8,12/31/13,1/3/14,5,1/8/14
HMES,63,531,11/4/13,20,11/8/13,12/27/13,12/27/13,59,18,25.4,53.1,1/6/14,1/8/14,5,1/8/14
HMES,40,252,11/4/13,21,11/8/13,12/4/13,12/4/13,36,8,8.8,25.2,12/14/13,12/16/13,3,12/17/13
HMES,55,294,11/4/13,22,11/8/13,12/20/13,12/20/13,51,16,14.8,29.4,12/29/13,12/30/13,3,12/31/13
HMES,63,431,11/4/13,23,11/8/13,12/27/13,12/27/13,59,22,24.4,43.1,1/6/14,1/8/14,5,1/8/14
HMES,65,488,11/4/13,24,11/8/13,12/30/13,12/30/13,61,20,25.6,48.8,1/8/14,1/10/14,4,1/14/14
HMES,63,404,11/4/13,25,11/8/13,12/27/13,12/27/13,59,16,24.5,40.4,1/6/14,1/8/14,8,1/8/14
HMES,51,449,11/4/13,26,11/8/13,12/13/13,12/13/13,47,11,21.1,44.9,12/25/13,12/27/13,4,12/31/13
HMES,60,317,11/4/13,27,11/8/13,12/23/13,12/23/13,56,17,22,31.7,1/3/14,1/3/14,3,1/8/14
HMES,48,516,11/4/13,28,11/8/13,12/10/13,12/10/13,44,9,19.2,51.6,12/22/13,12/23/13,3,12/23/13
HMES,51,438,11/4/13,29,11/8/13,12/16/13,12/16/13,47,13,17.8,43.8,12/25/13,12/27/13,3,12/31/13
HMES,68,311,11/4/13,30,11/8/13,1/8/14,1/8/14,64,24,11.6,31.1,1/11/14,1/13/14,4,1/14/14
IMES,60,113,11/4/13,1,11/11/13,12/24/13,12/24/13,53,21,8.4,11.3,1/3/14,1/8/14,13,1/8/14
IMES,37,40,11/4/13,2,11/8/13,12/4/13,12/4/13,33,9,4.8,4,12/11/13,12/13/13,3,12/17/13
IMES,37,40,11/4/13,3,11/8/13,12/3/13,12/3/13,33,9,5.2,4,12/11/13,12/13/13,3,12/17/13
IMES,43,72,11/4/13,4,11/11/13,12/10/13,12/10/13,36,9,15.3,7.2,12/17/13,12/18/13,3,12/23/13
IMES,35,147,11/4/13,5,11/8/13,12/2/13,12/2/13,31,7,6.8,14.7,12/9/13,12/10/13,3,12/17/13
IMES,56,153,11/4/13,6,11/8/13,12/23/13,12/23/13,52,23,10,15.3,12/30/13,12/31/13,3,1/3/14
IMES,33,208,11/4/13,7,11/8/13,12/2/13,12/2/13,29,7,9.2,20.8,12/7/13,12/9/13,3,12/17/13
IMES,51,286,11/4/13,8,11/8/13,12/18/13,12/18/13,47,17,13.8,28.6,12/25/13,12/27/13,3,12/31/13
IMES,44,233,11/4/13,9,11/8/13,12/11/13,12/11/13,40,11,12.4,23.3,12/18/13,12/20/13,3,12/23/13
IMES,34,154,11/4/13,10,11/8/13,12/3/13,12/3/13,30,10,11.4,15.4,12/8/13,12/10/13,3,12/17/13
IMES,53,133,11/4/13,11,11/8/13,12/20/13,12/20/13,49,20,16.4,13.3,12/27/13,12/30/13,5,12/31/13
IMES,55,268,11/4/13,12,11/8/13,12/20/13,12/20/13,51,17,13.8,26.8,12/29/13,12/30/13,4,12/31/13
IMES,32,89,11/4/13,13,11/11/13,12/2/13,12/2/13,25,6,8.5,8.9,12/6/13,12/9/13,3,12/17/13
IMES,53,191,11/4/13,14,11/11/13,12/18/13,12/18/13,46,14,12.3,19.1,12/27/13,12/30/13,5,12/31/13
IMES,58,408,11/4/13,15,11/8/13,12/23/13,12/23/13,54,17,24.8,40.8,1/1/14,1/3/14,5,1/3/14
IMES,36,120,11/4/13,16,11/11/13,12/3/13,12/3/13,29,6,7.8,12,12/10/13,12/11/13,3,12/17/13
IMES,49,204,11/4/13,17,11/8/13,12/16/13,12/16/13,45,14,15.2,20.4,12/23/13,12/24/13,3,12/31/13
IMES,32,192,11/4/13,18,11/8/13,12/2/13,12/2/13,28,7,11.2,19.2,12/6/13,12/9/13,5,12/17/13
IMES,36,78,11/4/13,19,11/8/13,12/3/13,12/3/13,32,7,12,7.8,12/10/13,12/13/13,4,12/17/13
IMES,36,79,11/4/13,20,11/8/13,12/3/13,12/3/13,32,6,10.4,7.9,12/10/13,12/11/13,3,12/17/13
IMES,58,128,11/4/13,21,11/8/13,12/23/13,12/23/13,54,19,6.8,12.8,1/1/14,1/3/14,4,1/3/14
IMES,45,135,11/4/13,22,11/11/13,12/10/13,12/10/13,38,11,11.3,13.5,12/19/13,12/20/13,3,12/23/13
IMES,39,82,11/4/13,23,11/8/13,12/4/13,12/4/13,35,10,5.2,8.2,12/13/13,12/16/13,5,12/17/13
IMES,40,196,11/4/13,24,11/8/13,12/4/13,12/4/13,36,11,8.3,19.6,12/14/13,12/16/13,3,12/17/13
IMES,30,113,11/4/13,25,11/11/13,12/2/13,12/2/13,23,7,12.3,11.3,12/4/13,12/6/13,3,12/17/13
IMES,65,126,11/4/13,26,11/8/13,12/30/13,12/30/13,61,21,10.9,12.6,1/8/14,1/10/14,5,1/14/14
