original_order,population,,OrigCode,family,sibling,seed_wt,DaysToGerm,DaysGermToFlwr,firstFlwrHt_mm,num_ovules,Lifespan,Total_Seeds,Total_Fruit,Seed_per_Fruit,Planting_Date,Germination_Date,First_FlowerDate,Mortality_Date,OvuleFlower_num,OvuleDate
701,MAES,,MS,37,b,3.2,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
705,MAES,,MS,41,a,5.1,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
706,MAES,,MS,41,b,4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
713,MAES,,MS,43,d,2.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
715,MAES,,MS,44,a,2.8,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
718,MAES,,MS,44,d,2.5,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
720,MAES,,MS,46,a,1.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
723,MAES,,MS,46,d,1.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
727,MAES,,MS,48,c,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
730,MAES,,MS,49,a,2.4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
734,MAES,,MS,49,e,2.7,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
661,MAES,,MS,15,e,4.2,3,,,,166,0,0,0,6/14/05,6/17/05,,11/30/05,,
698,MAES,,MS,33,c,1.6,3,,,,166,0,0,0,6/14/05,6/17/05,,11/30/05,,
725,MAES,,MS,48,a,2.9,3,,,,166,0,0,0,6/14/05,6/17/05,,11/30/05,,
728,MAES,,MS,48,d,2.8,3,,,,166,0,0,0,6/14/05,6/17/05,,11/30/05,,
144,PBFR,,PB,5,c,5.3,7,,,,8,0,0,0,6/14/05,6/21/05,,6/29/05,,
162,PBFR,,PB,10,a,11.2,7,,,,24,0,0,0,6/14/05,6/21/05,,7/15/05,,
219,PBFR,,PB,24,b,8.1,8,,,,48,0,0,0,6/14/05,6/22/05,,8/9/05,,
208,PBFR,,PB,21,c,6.6,7,,,,50,0,0,0,6/14/05,6/21/05,,8/10/05,,
236,PBFR,,PB,28,c,11.7,8,,,,62,0,0,0,6/14/05,6/22/05,,8/23/05,,
142,PBFR,,PB,5,a,12.1,8,,,,91,0,0,0,6/14/05,6/22/05,,9/21/05,,
185,PBFR,,PB,15,d,8.9,27,,,,113,0,0,0,6/14/05,7/11/05,,11/1/05,,
140,PBFR,,PB,4,c,4.4,5,,,,121,0,0,0,6/14/05,6/19/05,,10/18/05,,
221,PBFR,,PB,24,d,7.5,8,,,,161,0,0,0,6/14/05,6/22/05,,11/30/05,,
143,PBFR,,PB,5,b,9,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
148,PBFR,,PB,6,c,6.3,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
131,PBFR,,PB,2,b,6.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
137,PBFR,,PB,3,d,7.6,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
176,PBFR,,PB,13,c,7.5,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
145,PBFR,,PB,5,d,6.3,14,333,530,3,520,,,,6/14/05,6/28/05,5/27/06,11/30/06,10,5/30/06
126,PBFR,,PB,1,a,8.4,7,334,510,2,527,,,,6/14/05,6/21/05,5/21/06,11/30/06,6,5/23/06
147,PBFR,,PB,6,b,5,7,329,339,,527,,,,6/14/05,6/21/05,5/16/06,11/30/06,,
187,PBFR,,PB,16,b,9.6,7,329,470,5,527,,,,6/14/05,6/21/05,5/16/06,11/30/06,3,5/17/06
202,PBFR,,PB,20,a,5.8,7,329,700,5,527,,,,6/14/05,6/21/05,5/16/06,11/30/06,3,5/17/06
171,PBFR,,PB,12,b,9,5,333,577,4,529,,,,6/14/05,6/19/05,5/18/06,11/30/06,7,5/23/06
212,PBFR,,PB,22,c,7.6,5,342,652,3,529,,,,6/14/05,6/19/05,5/27/06,11/30/06,4,5/27/06
240,PBFR,,PB,29,c,8.8,5,335,650,5,529,,,,6/14/05,6/19/05,5/20/06,11/30/06,8,5/23/06
210,PBFR,,PB,22,a,11.1,15,321,618,4,694,,,,6/14/05,6/29/05,5/16/06,5/24/07,3,5/18/06
227,PBFR,,PB,26,b,9.2,12,324,340,5,697,,,,6/14/05,6/26/05,5/16/06,5/24/07,3,5/17/06
205,PBFR,,PB,20,d,13.2,1,327,689,3,699,,,,6/14/05,6/24/05,5/17/06,5/24/07,4,5/20/06
134,PBFR,,PB,3,a,9.1,9,321,395,5,700,,,,6/14/05,6/23/05,5/10/06,5/24/07,6,5/16/06
168,PBFR,,PB,11,c,12.4,9,327,520,4,700,,,,6/14/05,6/23/05,5/16/06,5/24/07,a3,5/16/06
211,PBFR,,PB,22,b,10.2,8,337,1093,4,701,,,,6/14/05,6/22/05,5/25/06,5/24/07,3,5/25/06
133,PBFR,,PB,2,d,4.6,7,330,382,7,702,,,,6/14/05,6/21/05,5/17/06,5/24/07,3,5/18/06
158,PBFR,,PB,9,a,6.2,7,330,606,5,702,,,,6/14/05,6/21/05,5/17/06,5/24/07,5,5/20/06
164,PBFR,,PB,10,c,6.5,7,343,773,5,702,,,,6/14/05,6/21/05,5/30/06,5/24/07,6,6/1/06
170,PBFR,,PB,12,a,10.9,7,330,563,4,702,,,,6/14/05,6/21/05,5/17/06,5/24/07,3,5/18/06
203,PBFR,,PB,20,b,7.1,7,329,477,4,702,,,,6/14/05,6/21/05,5/16/06,5/24/07,3,5/18/06
206,PBFR,,PB,21,a,3.3,7,338,887,4,702,,,,6/14/05,6/21/05,5/25/06,5/24/07,7,5/25/06
244,PBFR,,PB,30,c,7,7,340,554,4,702,,,,6/14/05,6/21/05,5/27/06,5/24/07,10,5/30/06
183,PBFR,,PB,15,b,14.1,23,324,244,4,876,,,,6/14/05,7/7/05,5/27/06,11/30/07,6,5/30/06
224,PBFR,,PB,25,c,6.6,17,330,639,4,882,,,,6/14/05,7/1/05,5/27/06,11/30/07,10,5/30/06
150,PBFR,,PB,7,a,10.9,1,331,778,4,889,,,,6/14/05,6/24/05,5/21/06,11/30/07,6,5/23/06
172,PBFR,,PB,12,c,10.7,1,320,302,6,889,,,,6/14/05,6/24/05,5/10/06,11/30/07,6,5/16/06
174,PBFR,,PB,13,a,8.5,1,337,532,4,889,,,,6/14/05,6/24/05,5/27/06,11/30/07,14,5/30/06
130,PBFR,,PB,2,a,4.6,9,327,220,7,890,,,,6/14/05,6/23/05,5/16/06,11/30/07,3,5/17/06
213,PBFR,,PB,22,d,6.7,9,327,552,4,890,,,,6/14/05,6/23/05,5/16/06,11/30/07,3,5/16/06
204,PBFR,,PB,20,c,8.2,8,333,743,3,891,,,,6/14/05,6/22/05,5/21/06,11/30/07,4,5/23/06
229,PBFR,,PB,26,d,5.9,8,319,145,4,891,,,,6/14/05,6/22/05,5/7/06,11/30/07,4,5/9/06
243,PBFR,,PB,30,b,6.6,8,329,487,3,891,,,,6/14/05,6/22/05,5/17/06,11/30/07,4,5/18/06
138,PBFR,,PB,4,a,5.4,7,332,525,4,892,,,,6/14/05,6/21/05,5/19/06,11/30/07,5,5/23/06
167,PBFR,,PB,11,b,10.5,7,329,458,2,892,,,,6/14/05,6/21/05,5/16/06,11/30/07,3,5/16/06
