Row,Column,Code,Planting_Code,germ_group,subpop,group,Planting_Date,Germ_Date,Died_By,Died_before_bolting,Died_before_flowering,Bolt_before_7_26,Bolt_before_Winter,Dead_7_1_12,Bolted_Date,second_bolt,Flowering_Date,Height_1st_Flower_cm,Date_Blossom_Collected,Days_Germ_to_Bolt,Died_from_winter,Days_Germ_to_Flow,Days_Bolt_Flower,Survive_winter,6_28_Leaf_Number_Josh,No_data_6_28,7_26_Leaf_Number_Josh,No_data_7_26,6_28_Rosette_Leaf_Scale,6_28_L1L,6_28_L1W,6_28_L2L,6_28_L2W,6_28_L3L,6_28_L3W,7_26_Rosette_Leaf_Scale,7_26_L1L,7_26_L1W,7_26_L2L,7_26_L2W,7_26_L3L,7_26_L3W,Alive_1_5_13,Alive_4_17_13,Alive_5_3_13,Alive_5_13_13,Alive_5_28_13,Tissue_Sample,SpringAliveDate
12,E,RA402,RA402,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,59.903,273.079,131.26,216.868,117.958,219.701,117.72,40.971,4.548,8.114,,,,,0,0,0,0,0,0,
14,B,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,7/26/12,0,1,1,0,0,7/11/12,,,,,43,,,,0,4,,,D,64.236,145.646,92.807,,,,,37.708,,,,,,,0,0,0,0,0,0,
16,E,RA265,RA265,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,61.879,226.188,62.345,190.322,96.576,198.475,85.446,36.422,3.29,11.874,,,,,0,0,0,0,0,1,
26,E,RA264,RA264,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,4,,,D,60.065,,,,,,,32.889,1,3.162,,,,,0,0,0,0,0,0,
30,D,AFFRxMAES,AFFRxMAES_1,1,cross,cross,5/25/12,5/30/12,7/26/12,1,1,,0,0,,,,,,,,,,0,6,,,D,61.301,93.261,53.166,116.654,43.728,125.592,45.783,47.162,,,,,,,0,0,0,0,0,0,
33,B,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,4,,,D,80.492,75.4,22.717,41.886,22.727,,,37.772,,,,,,,0,0,0,0,0,0,
37,A,BINYxMAES,BINYxMAES_1,1,cross,cross,5/25/12,5/31/12,7/26/12,1,1,,0,0,,,,,,,,,,0,2,,,D,85.472,42.183,33.28,31.335,24.579,,,37,,,,,,,0,0,0,0,0,0,
47,E,M3AU,M3,1,weed,weed,5/25/12,6/1/12,7/26/12,0,1,1,0,0,7/11/12,,,,,40,,,,0,6,,,D,64.301,342.249,215.757,,227.317,261.66,157.964,29.745,1.471,3.466,,,,,0,0,0,0,0,0,
49,B,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,7/26/12,0,0,1,1,0,7/18/12,,7/23/12,5.5,,50,,55,5,0,3,,,D,,,,,,,,37.187,,,,,,,0,0,0,0,0,0,
64,C,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,7/26/12,0,0,1,1,0,6/28/12,,7/2/12,1.2,,30,,34,4,0,3,,,D,57.065,239.554,58.576,,,,,27.492,,,,,,,0,0,0,0,0,0,
