Pop,ID,sire,dam,OrigSireID,OrigDamID,sib,block_9,blockNum,FlwrPos,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ovules,plantingDate,germTime,germ2flwr,plant2Flwr,NumVernal,DaysVernal,1stFlwrHgt_cm,LeafNum,Measurer
AUFI,449,1020,1028,33,42,d,3,57,6,10.08,7.49,11.8246,9.4044,12.6367,14.1172,8,8-Jul-04,4,22,26,0,0,22.5,3,Steve
AUFI,446,1020,1028,33,42,a,9,37,3,9.44,7.22,12.429,10.1792,12.7804,14.1747,6,8-Jul-04,4,22,26,0,0,19.8,3,Steve
AUFI,439,1018,1021,31,34,b,2,23,4,9.62,8.71,10.9343,8.4967,10.8927,14.44,6,8-Jul-04,4,22,26,0,0,19.8,3,Steve
AUFI,367,998,999,5,6,a,2,28,x4,7.21,4.15,10.2229,7.274,11.1428,14.4514,7,8-Jul-04,4,22,26,0,0,34,3,Steve
AUFI,435,1017,1018,30,31,b,9,39,3,10.26,9.26,12.6298,10.2643,13.8268,14.5703,8,8-Jul-04,4,22,26,0,0,28.4,3,Steve
AUFI,495,1033,1034,49,50,d,8,128,5,.,.,12.6731,9.7824,12.4069,15.194,9,8-Jul-04,4,22,26,0,0,23,4,Steve
AUFI,488,1031,996,46,1,d,6,103,4,9.25,6.81,11.3988,9.0959,12.0098,16.058,7,8-Jul-04,4,22,26,0,0,31,.,Steve
AUFI,377,1000,1001,7,8,c,4,80,4,11.13,8.61,11.6358,9.6993,11.9048,16.2729,12,8-Jul-04,4,22,26,0,0,18.2,4,Steve
AUFI,440,1018,1021,31,34,c,1,5,3,9.06,6.71,11.9405,8.9742,11.8151,16.8975,7,8-Jul-04,4,22,26,0,0,20.2,3,Steve
AUFI,382,1001,1016,8,29,d,5,114,3,10.16,6.96,11.7342,9.7984,12.123,17.288,11,8-Jul-04,4,22,26,0,0,23.5,.,Steve
AUFI,366,997,998,2,5,b,7,129,3,8.48,5.73,10.2337,8.542,10.4718,13.0149,8,8-Jul-04,5,22,27,0,0,26.4,2,Steve
AUFI,447,1020,1028,33,42,b,2,19,3,8.95,7.04,11.0785,8.4461,10.8211,12.4703,7,8-Jul-04,4,23,27,0,0,25,3,Steve
AUFI,387,1003,1004,11,12,a,8,143,4,.,.,10.6241,8.9757,11.4066,12.5409,6,8-Jul-04,4,23,27,0,0,25,3,Steve
AUFI,494,1033,1034,49,50,b,2,7,6,9.43,7.41,13.0623,10.304,12.9469,13.5858,8,8-Jul-04,4,23,27,0,0,28,4,Steve
AUFI,381,1001,1016,8,29,c,5,85,4,.,.,12.1712,9.7328,12.4749,13.7654,11,8-Jul-04,4,23,27,0,0,26,4,Steve
AUFI,489,1032,1033,47,49,a,4,47,4,8.02,7.22,12.0526,9.7962,11.4304,14.6305,6,8-Jul-04,4,23,27,0,0,30,4,Steve
AUFI,442,1019,1020,32,33,a,4,68,3,10.11,8.36,11.3129,9.3064,11.6475,14.6857,8,8-Jul-04,4,23,27,0,0,27,5,Steve
AUFI,397,1006,1008,14,17,c,8,119,4,.,.,12.2788,9.7263,12.5045,14.6975,6,8-Jul-04,4,23,27,0,0,25.5,3,Steve
AUFI,399,1007,1006,15,14,a,6,112,4,.,.,11.6932,9.4526,12.2053,14.7948,8,8-Jul-04,4,23,27,0,0,29.3,5,Steve
AUFI,372,999,1000,6,7,b,3,46,4,10.12,5.69,11.7137,6.8051,12.7428,14.7968,8,8-Jul-04,4,23,27,0,0,39.2,5,Steve
AUFI,369,998,999,5,6,c,8,152,3,.,.,10.0808,8.4593,10.9813,14.9233,8,8-Jul-04,4,23,27,0,0,25,4,Steve
AUFI,401,1007,1006,15,14,c,5,89,4,7.28,5.6,10.1486,9.5059,11.2596,15.1229,9,8-Jul-04,4,23,27,0,0,23,3,Steve
AUFI,478,1028,1029,42,43,b,3,54,3,8.48,7.67,11.5729,10.9498,12.5186,15.67,10,8-Jul-04,4,23,27,0,0,27,4,Steve
AUFI,450,1021,1022,34,35,a,1,21,5,10.38,7.99,12.0107,9.5263,12.4211,17.1682,9,8-Jul-04,4,23,27,0,0,23,4,Steve
AUFI,417,1011,1012,22,23,d,6,92,9,9.25,6.62,11.3923,8.1317,10.2141,12.5844,9,8-Jul-04,5,23,28,0,0,34,4,Steve
AUFI,398,1006,1008,14,17,d,5,105,3,8.27,8.41,11.5759,10.4732,13.1027,14.4958,9,8-Jul-04,5,23,28,0,0,21,3,Steve
AUFI,462,1024,1025,37,38,b,7,150,3,8.14,6.78,12.2746,10.2167,12.785,14.6401,8,8-Jul-04,5,23,28,0,0,27.5,3,Steve
AUFI,497,1034,997,50,2,b,6,100,7,9.26,6.28,12.9193,9.3884,12.5609,15.1642,8,8-Jul-04,5,23,28,0,0,25,3,Steve
