Pop,Individual,FlwrTime,Hgt1stFlwr_mm,NumVernaliz,DaysVernal,flowerDate,PlantingDate,OldPopCode,FileIDtop,FileIDside,CrownLeafNum,StemLeafNum,Bolted,CrownHeight
GSCA,24,54,267,0,0,10/2/06,8/9/06,SM,.,.,.,.,.,.
GSCA,25,92,424,0,0,11/9/06,8/9/06,SM,.,.,.,.,.,.
GSCA,26,54,247,0,0,10/2/06,8/9/06,SM,.,.,.,.,.,.
GSCA,27,114,368,0,0,12/1/06,8/9/06,SM,.,.,.,.,.,.
GSCA,30,61,475,0,0,10/9/06,8/9/06,SM,.,.,.,.,.,.
GSCA,31,53,510,0,0,10/1/06,8/9/06,SM,.,.,.,.,.,.
GSCA,32,52,300,0,0,9/30/06,8/9/06,SM,.,.,.,.,.,.
GSCA,33,62,474,0,0,10/10/06,8/9/06,SM,.,.,.,.,.,.
GSCA,34,92,228,0,0,11/9/06,8/9/06,SM,.,.,.,.,.,.
MAES,1,106,.,1,50,8/18/06,5/4/06,MS,.,.,.,.,.,.
MAES,2,106,.,1,50,8/18/06,5/4/06,MS,.,.,.,.,.,.
MAES,3,104,.,1,50,8/16/06,5/4/06,MS,.,.,.,.,.,.
MAES,4,105,.,1,50,8/17/06,5/4/06,MS,.,.,.,.,.,.
MAES,5,104,.,1,50,8/16/06,5/4/06,MS,.,.,.,.,.,.
MAES,6,105,.,1,50,8/17/06,5/4/06,MS,.,.,.,.,.,.
MAES,7,102,.,1,50,8/14/06,5/4/06,MS,.,.,.,.,.,.
MAES,8,104,.,1,50,8/16/06,5/4/06,MS,.,.,.,.,.,.
MAES,9,105,.,1,50,8/17/06,5/4/06,MS,.,.,.,.,.,.
MAES,10,105,.,1,50,8/17/06,5/4/06,MS,.,.,.,.,.,.
MAES,13,119,348,1,70,3/7/07,11/8/06,MS,DSCN7357,DSCN7358.JPG,12,9,Y,7.909654964
MAES,14,125,485,1,70,3/13/07,11/8/06,MS,DSCN7359,DSCN7360.JPG,21,.,N,5.331125828
MAES,15,119,592,1,70,3/7/07,11/8/06,MS,DSCN7361,DSCN7363.JPG,9,7,Y,23.72228728
MAES,16,118,413,1,70,3/6/07,11/8/06,MS,DSCN7364,DSCN7365.JPG,15,9,Y,9.409090909
MAES,17,120,250,1,70,3/8/07,11/8/06,MS,DSCN7366,DSCN7367.JPG,14,10,Y,7.121212121
MAES,18,118,441,1,70,3/6/07,11/8/06,MS,DSCN7368,DSCN7369.JPG,9,10,Y,11.90482804
MAES,19,116,447,1,70,3/4/07,11/8/06,MS,DSCN7370,DSCN7371.JPG,12,12,Y,12.09249681
MAES,20,123,394,1,70,3/11/07,11/8/06,MS,DSCN7372,DSCN7373.JPG,15,8,Y,11.91227532
MAES,21,120,263,1,70,3/8/07,11/8/06,MS,DSCN7374,DSCN7375.JPG,8,3,Y,9.440456674
MAES,22,123,295,1,70,3/11/07,11/8/06,MS,DSCN7376,DSCN7377.JPG,13,8,Y,10.55805023
MAES,23,122,190,1,70,3/10/07,11/8/06,MS,DSCN7378,DSCN7379.JPG,13,6,Y,7.708218691
MAES,24,120,629,1,70,3/8/07,11/8/06,MS,DSCN7380,DSCN7381.JPG,12,5,Y,12.98727156
MAES,25,119,461,1,70,3/7/07,11/8/06,MS,DSCN7382,DSCN7383.JPG,10,5,Y,12.45456716
PBFR,1,309,381,2,158,3/9/07,5/4/06,PB,DSCN7317,DSCN7337.JPG,26,.,N,3.949275362
PBFR,2,307,510,2,158,3/7/07,5/4/06,PB,DSCN7318,DSCN7338.JPG,22,.,N,3.283794091
PBFR,3,299,354,2,158,2/27/07,5/4/06,PB,DSCN7319,DSCN7339.JPG,23,.,N,4.963128979
PBFR,4,131,461,1,50,9/12/06,5/4/06,PB,DSCN7328,DSCN7347.JPG,27,.,Y,2.175572519
PBFR,5,180,.,1,50,10/31/06,5/4/06,PB,DSCN7329,DSCN7348.JPG,28,.,Y,2.5
PBFR,6,317,338,2,158,3/17/07,5/4/06,PB,DSCN7320,DSCN7340.JPG,31,.,N,2.412367158
PBFR,7,314,465,2,158,3/14/07,5/4/06,PB,DSCN7321,DSCN7341.JPG,19,.,N,2.843290852
PBFR,8,293,490,2,158,2/21/07,5/4/06,PB,DSCN7323,DSCN7343.JPG,27,2,Y,3.175855372
PBFR,9,145,321,1,50,9/26/06,5/4/06,PB,DSCN7330,DSCN7349.JPG,35,.,Y,4.514423045
PBFR,10,295,240,2,158,2/23/07,5/4/06,PB,DSCN7322,DSCN7342.JPG,21,.,N,3.035714286
SAES,1,124,556,1,50,9/5/06,5/4/06,CS,DSCN7331,DSCN7350.JPG,18,.,Y,12.75862069
SAES,2,131,555,1,50,9/12/06,5/4/06,CS,DSCN7332,DSCN7351.JPG,31,.,Y,7.9933018
SAES,3,491,.,3,273,9/7/07,5/4/06,CS,DSCN7324,DSCN7344.JPG,39,.,N,5.162601626
SAES,4,118,448,1,50,8/30/06,5/4/06,CS,DSCN7333,DSCN7352.JPG,30,.,Y,4.202898551
SAES,5,138,141,1,50,9/19/06,5/4/06,CS,DSCN7334,DSCN7353.JPG,33,.,Y,6.443661972
SAES,6,145,232,1,50,9/26/06,5/4/06,CS,DSCN7335,DSCN7354.JPG,41,.,N,10.72953649
SAES,7,148,39,1,50,9/29/06,5/4/06,CS,DSCN7336,DSCN7355.JPG,28,.,N,8.140495868
SAES,8,.,.,3,273,.,5/4/06,CS,DSCN7326,DSCN7345.JPG,57,.,N,10.12007905
SAES,9,.,.,3,273,.,5/4/06,CS,DSCN7327,DSCN7346.JPG,27,.,N,3.070866142
SAES,10,136,320,1,50,9/17/06,5/4/06,CS,.,.,.,.,.,.
