NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
9,5,MYJO,crop,crop,"972,973",5/29/13,6/3/13,8/9/13,8/13/13,35,9/20/13,8/20/13,,,,,
9,8,AFFR,weed,weed,,5/29/13,,,,,,,8/26/13,Replaced Fall,,,
9,11,CGBC,crop,crop,"994,995",5/29/13,6/5/13,8/13/13,9/3/13,95,9/20/13,9/9/13,,,,,
9,13,MABG,crop,crop,,5/29/13,6/4/13,6/28/13,7/5/13,36.5,7/5/13,7/16/13,,,,,
9,14,ESNK,crop,crop,"577, 578",5/29/13,6/4/13,7/24/13,8/1/13,42.5,8/14/13,8/9/13,,,,,
10,4,RABG,crop,crop,"131, 132",5/29/13,6/5/13,7/3/13,7/9/13,49,7/16/13,7/18/13,,,,,
10,5,RBBC,crop,crop,"665,666",5/29/13,6/5/13,8/5/13,8/13/13,33,8/14/13,8/15/13,,,,,
10,8,FRSI,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
10,12,M3AU,weed,weed,,5/29/13,,,,,,,,Replaced Fall,,,
10,13,AFFR,weed,weed,,5/29/13,,,,,,,,Replaced Fall,,,
10,15,RABG,crop,crop,"133, 134",5/29/13,6/2/13,7/3/13,7/8/13,36,7/11/13,7/18/13,7/22/13,Replaced Fall,,,
11,3,RABS,crop,crop,,5/29/13,6/2/13,,,,,,9/9/13,Dying 9/3,,,
11,7,RACA,crop,crop,"88, 89, 108, 109",5/29/13,6/2/13,6/26/13,6/27/13,24,7/5/13,7/14/13,8/6/13,Dying 8/5,,,
11,9,SAES,lanmar,native,,5/29/13,6/19/13,,,,,,,,,,
11,11,CBBG,crop,crop,"667,668",5/29/13,6/5/13,8/5/13,8/20/13,73,8/23/13,8/27/13,9/9/13,Out of ground 9/3,,,
11,12,GMIL,rostratus,native,"571, 572",5/29/13,6/18/13,7/22/13,7/24/13,5,8/2/13,8/20/13,,,,,
11,14,M3AU,weed,weed,"669,670",5/29/13,7/14/13,8/5/13,8/13/13,15,8/14/13,8/20/13,,,,,
11,16,MAES,maes,native,"996,997",5/29/13,7/1/13,8/13/13,8/15/13,8,8/14/13,8/27/13,9/3/13,,,,
