Pop,UniqueID,OrigID,PlantingDate,PlantToFlower,DaysToGerm,GermToFlwr,NumVernalz,DaysVernalized,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ShrtAnther,LongAnther,Ovules,1stFlwrHgt_cm,LeafNum,FlwrPos,SeedWt_g
BINY,1159,45,6/10/03,27,5,22,0,0,7.3159,5.7784,9.1808,6.6159,8.5463,12.0657,2.5611,2.2995,10,18.4,3,6,0.0043
BINY,1160,46,6/20/03,28,5,23,0,0,7.5503,6.7369,11.6261,7.4338,9.7383,13.1256,2.7507,2.4224,5,38.2,6,9,0.0017
BINY,1161,48,.,55,9,46,0,0,10.9234,8.4332,11.566,8.8394,11.3959,14.6134,.,.,9,63.5,9,3,.
BINY,1162,49,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.
BINY,1163,50,6/10/03,32,6,26,0,0,7.8083,6.0904,12.7504,9.6369,11.9421,15.2656,2.1002,2.0456,5,42.8,6,5,0.0026
COAU,905,1,6/20/03,25,4,21,0,0,9.5879,6.2017,13.2242,9.4048,12.388,14.1468,2.816,2.3759,13,8.3,4,4,0.0052
COAU,906,2,6/10/03,32,6,26,0,0,8.7125,5.4337,13.9704,8.8725,12.3984,13.1875,2.7058,2.0814,11,26.2,4,4,0.0035
COAU,907,3,6/10/03,28,5,23,0,0,6.122,5.7631,13.57,7.9465,10.4467,10.8589,2.824,2.0806,8,27.3,4,3,0.0032
COAU,908,4,6/10/03,34,8,26,0,0,7.7612,5.9798,11.6653,8.5163,11.631,16.1925,2.261,1.9648,10,17,4,6,0.0016
COAU,.,5,6/20/03,33,4,29,0,0,7.4556,3.8097,12.2087,5.6036,12.3525,13.3711,2.0652,1.6568,11,13.2,.,.,0.0038
COAU,909,6,6/10/03,30,5,25,0,0,8.728,7.6617,14.0002,9.2003,12.107,12.0322,3.0252,2.6032,11,11.2,4,3,0.0015
COAU,910,7,6/20/03,39,10,29,0,0,7.8851,5.524,12.2908,8.5137,11.6999,5.9684,2.1137,2.1412,12,23.5,4,3,0.0044
COAU,911,8,6/10/03,37,9,28,0,0,6.5139,6.4116,13.929,8.4029,12.8979,12.7706,2.9867,2.3448,8,24.4,3,3,0.0026
COAU,912,10,6/10/03,31,6,25,0,0,6.7733,4.4369,9.8673,7.7443,10.3929,10.3844,1.9833,1.6436,11,15.1,4,6,0.0025
COAU,913,11,6/10/03,35,3,32,0,0,8.0404,5.4845,11.8193,7.7211,12.1837,7.241,2.6354,2.1187,10,24.6,5,6,0.0034
COAU,914,12,6/20/03,25,4,21,0,0,6.2568,5.6065,11.0806,7.9645,10.6087,12.6065,1.7545,1.9084,8,23.3,3,3,0.0033
COAU,915,13,6/20/03,28,4,24,0,0,8.591,7.2048,12.9883,8.7314,12.2268,12.9205,2.7246,2.1548,13,30.2,3,6,0.0034
COAU,916,14,6/20/03,28,4,24,0,0,7.4794,7.0224,14.1699,8.082,10.5595,11.2501,2.8967,2.19,8,32.3,2,7,0.0032
COAU,917,15,6/20/03,29,4,25,0,0,9.2699,6.3656,13.8646,8.6888,11.9548,12.7502,2.2587,1.8837,11,20.7,4,5,0.0016
COAU,918,16,6/20/03,29,4,25,0,0,10.5865,5.8003,14.8294,9.9727,12.7056,13.0769,2.4639,2.1514,8,14.4,4,3,0.004
COAU,.,17,6/20/03,32,4,28,0,0,5.7264,6.2011,12.0191,7.1326,9.626,11.1223,3.0139,2.5555,13,22.1,.,.,0.0026
COAU,919,18,6/10/03,38,4,34,0,0,.,.,.,8.0369,9.8985,13.7044,2.588,2.6266,5,32.2,5,3,0.0037
COAU,920,19,6/10/03,38,4,34,0,0,6.4725,5.0872,9.572,7.6729,10.3902,12.8763,1.6966,1.8993,9,24.8,6,8,0.0024
COAU,921,20,6/20/03,25,4,21,0,0,7.183,6.3125,13.125,9.0183,11.1912,11.9244,2.3246,2.2186,12,15.3,3,3,0.0028
COAU,922,21,6/20/03,27,4,23,0,0,9.926,6.7908,14.8596,9.8018,13.9254,14.471,2.1554,1.7211,7,8.1,3,3,0.0036
COAU,923,22,6/20/03,35,5,30,0,0,9.017,7.4361,14.5104,8.955,11.9258,12.5589,2.7505,2.5045,11,24.2,6,3,0.0029
COAU,924,23,6/10/03,33,4,29,0,0,9.5518,7.3713,14.2576,9.4091,12.5343,13.0639,2.3495,2.3038,8,21.7,3,4,0.0032
COAU,925,24,6/20/03,28,4,24,0,0,8.5334,7.3328,15.2697,10.0622,13.1395,16.7527,2.6588,2.3494,5,30.6,4,3,0.0044
COAU,926,25,6/20/03,29,4,25,0,0,8.8114,6.295,12.8938,8.623,10.8247,12.6381,2.67,2.3682,10,27.1,4,3,0.0023
COAU,927,26,6/20/03,27,4,23,0,0,5.5115,7.1803,12.5764,7.6317,11.2657,10.3124,2.4643,2.0905,9,24.4,3,4,0.0039
COAU,928,27,6/20/03,34,5,29,0,0,7.4436,7.1508,12.1085,8.5644,10.4576,12.5264,2.4278,2.1493,8,32.6,4,4,0.0027
COAU,929,28,6/20/03,27,4,23,0,0,8.7261,7.2359,11.925,8.4579,10.7524,10.6923,2.2704,1.9451,9,20.8,3,7,0.0025
COAU,930,29,6/20/03,25,3,22,0,0,7.4888,6.4911,12.7052,7.9298,11.2882,12.9674,2.1484,2.0191,11,23.2,3,3,0.002
COAU,931,30,6/10/03,41,8,33,0,0,7.0411,5.4524,12.4317,8.4229,11.1066,12.2167,2.4025,1.9601,7,23.5,4,4,0.0019
COAU,932,31,6/10/03,28,4,24,0,0,7.8711,6.0041,12.3709,8.5472,11.4403,12.2562,2.6941,2.6404,7,13.2,3,4,0.0036
COAU,933,32,6/20/03,29,4,25,0,0,7.0589,7.0589,15.1452,7.8511,11.3091,13.576,2.6665,2.4959,12,21.2,3,5,0.0026
COAU,934,33,6/20/03,26,3,23,0,0,8.7026,8.305,13.3346,8.7573,11.5612,13.9858,2.7005,2.3087,11,25.4,6,4,0.0023
COAU,935,34,6/20/03,28,9,19,0,0,10.1183,6.224,11.5258,8.46,11.5613,12.4356,2.9297,2.3161,8,18.2,4,8,0.0041
COAU,936,35,6/20/03,25,4,21,0,0,8.2736,6.5521,13.4439,7.4511,10.7209,12.9987,2.6958,2.3856,8,14.4,3,5,0.0054
COAU,937,36,6/10/03,32,3,29,0,0,9.7492,7.8346,13.1858,8.5772,11.0785,14.5591,3.0403,2.6686,10,17.2,5,4,0.0027
